Status: Optimal
BuyMaterial_0_0 = 3060.0
BuyMaterial_0_1 = 28800.0
BuyMaterial_0_2 = 26100.0
BuyMaterial_1_0 = 0.0
BuyMaterial_1_1 = 0.0
BuyMaterial_1_2 = 0.0
FabricIsOpen_0_0 = 1.0
FabricIsOpen_0_1 = 0.0
FabricIsOpen_1_0 = 1.0
FabricIsOpen_1_1 = 1.0
FabricIsOpen_2_0 = 1.0
FabricIsOpen_2_1 = 0.0
ProducedProducts_0_0_0 = 7200.0
ProducedProducts_0_0_1 = 0.0
ProducedProducts_0_1_0 = 3000.0
ProducedProducts_0_1_1 = 0.0
ProducedProducts_0_2_0 = 0.0
ProducedProducts_0_2_1 = 0.0
ProducedProducts_1_0_0 = 7200.0
ProducedProducts_1_0_1 = 0.0
ProducedProducts_1_1_0 = 3000.0
ProducedProducts_1_1_1 = 0.0
ProducedProducts_1_2_0 = 0.0
ProducedProducts_1_2_1 = 0.0
ProducedProducts_2_0_0 = 7200.0
ProducedProducts_2_0_1 = 0.0
ProducedProducts_2_1_0 = 3000.0
ProducedProducts_2_1_1 = 0.0
ProducedProducts_2_2_0 = 0.0
ProducedProducts_2_2_1 = 0.0
RevenueComponent_0_0_0 = 42000.0
RevenueComponent_0_0_1 = 0.0
RevenueComponent_0_0_2 = 42000.0
RevenueComponent_0_0_3 = 42000.0
RevenueComponent_0_1_0 = 16000.0
RevenueComponent_0_1_1 = 0.0
RevenueComponent_0_1_2 = 16000.0
RevenueComponent_0_1_3 = 16000.0
RevenueComponent_0_2_0 = 0.0
RevenueComponent_0_2_1 = 0.0
RevenueComponent_0_2_2 = 0.0
RevenueComponent_0_2_3 = 0.0
RevenueComponent_1_0_0 = 42000.0
RevenueComponent_1_0_1 = 0.0
RevenueComponent_1_0_2 = 42000.0
RevenueComponent_1_0_3 = 42000.0
RevenueComponent_1_1_0 = 16000.0
RevenueComponent_1_1_1 = 0.0
RevenueComponent_1_1_2 = 16000.0
RevenueComponent_1_1_3 = 16000.0
RevenueComponent_1_2_0 = 0.0
RevenueComponent_1_2_1 = 0.0
